year,region,total_cases,crime_rate_per_100k,cleared_cases,clearance_rate_pct,total_suspects,non_german_abs,non_german_pct,Afghanistan_foreigners,Eritrea_foreigners,Iran_foreigners,Iraq_foreigners,Nigeria_foreigners,Pakistan_foreigners,Somalia_foreigners,Syrian_foreigners,Turkey_foreigners,Yemen_foreigners,foreigners_total,Afghanistan_protection,Eritrea_protection,Iran_protection,Iraq_protection,Nigeria_protection,Pakistan_protection,Somalia_protection,Syrian_protection,Turkey_protection,Yemen_protection,Foreigners,Germans,population_total,foreigners_share_pct,ilo_unemployment_rate_pct
2010,Baden-Wurttemberg,572049,5324.0,342624,59.9,230283,65778,28.5639843149516,2838.0,878.0,4372.0,10852.0,2553.0,4420.0,465.0,2531.0,281823.0,148.0,310880.0,1660.0,325.0,1815.0,7065.0,640.0,1180.0,285.0,1135.0,8960.0,0.0,1270827,9477623,10748450,13.408710179757097,4.9
2011,Baden-Wurttemberg,582844,5420.0,341764,58.6,228558,67579,29.567549593538622,3268.0,882.0,4707.0,11098.0,2757.0,5135.0,417.0,2671.0,278570.0,161.0,309666.0,2090.0,305.0,2035.0,7265.0,735.0,1685.0,260.0,1150.0,8735.0,0.0,1137197,9358277,10495474,12.151777512035602,4.0
2012,Baden-Wurttemberg,573459,5317.0,330965,57.7,229382,70699,30.821511714083933,3571.0,909.0,5179.0,11160.0,2920.0,6057.0,379.0,3375.0,274055.0,163.0,307768.0,2435.0,355.0,2430.0,7510.0,790.0,2475.0,195.0,1755.0,8600.0,0.0,1180279,9360498,10540777,12.609147504758827,3.9
2013,Baden-Wurttemberg,576067,5450.5,333922,58.0,231635,75870,32.8,4168.0,923.0,5487.0,11247.0,3432.0,7098.0,424.0,4944.0,269471.0,174.0,307368.0,2980.0,375.0,2630.0,7605.0,1090.0,3270.0,195.0,3045.0,8440.0,0.0,1237300,9362896,10600196,13.214928372588993,4.1
2014,Baden-Wurttemberg,594534,5592.3,349922,58.9,243361,86974,35.7,4653.0,2111.0,5618.0,11270.0,4184.0,8008.0,824.0,10443.0,265642.0,180.0,312933.0,3265.0,1455.0,2635.0,7530.0,1610.0,3765.0,535.0,6625.0,8180.0,0.0,1307480,9366482,10673962,13.95913641856142,4.0
2015,Baden-Wurttemberg,617365,5760.805341672262,370995,60.1,258792,106024,41.0,9995.0,3651.0,6372.0,17698.0,5733.0,10822.0,1436.0,38624.0,262094.0,189.0,356614.0,4590.0,2190.0,2670.0,9980.0,2320.0,4885.0,960.0,19560.0,8000.0,0.0,1427105,9371027,10798132,15.228907141127648,3.8
2016,Baden-Wurttemberg,609133,5598.845474170141,366844,60.2239576578514,251141,107417,42.771590461135375,24280.0,6175.0,8825.0,29610.0,8320.0,11975.0,2610.0,68110.0,259410.0,185.0,419500.0,18240.0,4595.0,4925.0,21125.0,5200.0,6330.0,2085.0,49475.0,8575.0,0.0,1546678,9369078,10915756,16.508326646442693,3.8
2017,Baden-Wurttemberg,579953,5295.45896768714,361664,62.4,247928,104464,42.1,23170.0,7040.0,9200.0,29905.0,9750.0,11565.0,3150.0,73665.0,257305.0,215.0,424965.0,19405.0,5255.0,4910.0,22125.0,6365.0,5665.0,2360.0,52710.0,9125.0,0.0,1624991,9362669,10987660,17.356065882495685,3.5
2018,Baden-Wurttemberg,572173,5190.519280532139,359035,62.7,241211,99065,41.1,23405.0,7665.0,9955.0,30165.0,11655.0,11270.0,3450.0,78135.0,255040.0,240.0,430980.0,20460.0,6415.0,5880.0,23570.0,8255.0,5040.0,2820.0,56985.0,9805.0,0.0,1692370,9354109,11046479,18.09226298303772,3.2
2019,Baden-Wurttemberg,573813,5176.498543432346,348664,60.8,238737,96219,40.3,23860.0,8050.0,10300.0,30350.0,13345.0,11325.0,3670.0,81245.0,253965.0,290.0,436400.0,21025.0,6810.0,6135.0,23880.0,9655.0,4565.0,3135.0,61465.0,11040.0,0.0,1741329,9343636,11084965,18.636524368029747,3.2
